1519 | 1579 | UK2328 | SRBM Running | 190
1537 | 1927 | AW2521 | FFTC Running | 351
1539 | 1719 | KZ5553 | FJSX Running | 192
1542 | 1962 | JY3265 | ALIV Running | 221
1543 | 1704 | MS3067 | EOUY Running | 111
1549 | 1609 | JS9426 | SRBM Running | 55
1567 | 1957 | SE6819 | FFTC Running | 200
1569 | 1749 | PS5394 | FJSX Running | 147
1572 | 1992 | YH3200 | ALIV Running | 385
1573 | 1734 | HH7831 | EOUY Running | 350
1579 | 1639 | AM1241 | SRBM Running | 172
1597 | 1987 | ZG7490 | FFTC Running | 248
1597 | 2017 | QJ6920 | FFTC Running | 244
1599 | 1599 | SU6401 | NSI Waiting | 373
1599 | 1779 | LR7917 | FJSX Running | 162
1602 | 2022 | PD6313 | ALIV Running | 45
1603 | 1764 | NN2959 | EOUY Running | 265
1609 | 1669 | UK2328 | SRBM Running | 160
1622 | 2052 | AY4844 | ALIV Running | 500
1627 | 2047 | ID5328 | FFTC Running | 369
1629 | 1809 | MN7646 | FJSX Running | 290
1632 | 2082 | GU6400 | ALIV Running | 137
1633 | 1794 | BJ4358 | EOUY Running | 93
1639 | 1699 | JS9426 | SRBM Running | 25
1653 | 1724 | VD8516 | SRBM Running | 320
1657 | 2077 | RR4818 | FFTC Running | 74
1659 | 1839 | RX8056 | FJSX Running | 99
1662 | 2112 | NV1107 | ALIV Running | 226
1663 | 1824 | NJ6254 | EOUY Running | 380
1669 | 1754 | AM1241 | SRBM Running | 142
1687 | 2107 | OJ8092 | FFTC Running | 58
1689 | 1869 | ME1842 | FJSX Running | 374
1692 | 2142 | VF5011 | ALIV Running | 1
1693 | 1854 | RB5112 | EOUY Running | 308
1698 | 2137 | GT6012 | FFTC Running | 137
1699 | 1784 | UK2328 | SRBM Running | 130
1700 | 2167 | HQ2481 | FFTC Running | 173
1704 | 1704 | RH2097 | EOUY Waiting | 443
1709 | 2143 | MM3255 | ALIV Running | 300
1713 | 2197 | IB9569 | FFTC Running | 431
1717 | 2227 | DO7856 | FFTC Running | 39
1719 | 1899 | IC8737 | FJSX Running | 29
1722 | 2173 | MV9271 | ALIV Running | 162
1724 | 1724 | JS9426 | SRBM Waiting | 213
1734 | 1884 | MS3067 | EOUY Running | 81
1744 | 1928 | PU5760 | FJSX Running | 187
1747 | 2257 | NJ8281 | FFTC Running | 195
1749 | 1958 | KZ5553 | FJSX Running | 162
1752 | 2203 | HG3446 | ALIV Running | 11
1754 | 1814 | VD8516 | SRBM Running | 290
1764 | 1914 | HH7831 | EOUY Running | 320
1775 | 2287 | XP4672 | FFTC Running | 357
1777 | 2317 | RY3354 | FFTC Running | 145
1779 | 1988 | PS5394 | FJSX Running | 117
1782 | 2214 | QL3937 | ALIV Running | 12
1784 | 1844 | AM1241 | SRBM Running | 112
1794 | 1944 | NN2959 | EOUY Running | 235
1795 | 1974 | RI3215 | EOUY Running | 189
1807 | 2018 | EQ7970 | FJSX Running | 408
1807 | 2347 | GF3754 | FFTC Running | 308
1809 | 2048 | LR7917 | FJSX Running | 132
1812 | 2226 | KN4141 | ALIV Running | 422
1813 | 1874 | SI8909 | SRBM Running | 325
1814 | 1904 | UK2328 | SRBM Running | 100
1823 | 1823 | OO8864 | VNG Running | 8
1824 | 2004 | BJ4358 | EOUY Running | 63
1831 | 1934 | OO8864 | SRBM Running | 47
1837 | 2377 | RE5250 | FFTC Running | 235
1839 | 2078 | MN7646 | FJSX Running | 260
1842 | 2256 | RC2143 | ALIV Running | 204
1844 | 1964 | VD8516 | SRBM Running | 260
1854 | 2034 | NJ6254 | EOUY Running | 350
1867 | 2064 | BQ9441 | EOUY Running | 393
1867 | 2407 | AB7275 | FFTC Running | 244
1869 | 2108 | RX8056 | FJSX Running | 69
1872 | 2286 | MO4112 | ALIV Running | 39
1874 | 1994 | AM1241 | SRBM Running | 82
1884 | 2094 | RB5112 | EOUY Running | 278
1897 | 2437 | LQ4176 | FFTC Running | 266
1899 | 2138 | ME1842 | FJSX Running | 344
1902 | 2316 | IK3661 | ALIV Running | 175
1904 | 2024 | SI8909 | SRBM Running | 295
1913 | 2124 | RY6755 | EOUY Running | 110
1914 | 2154 | MS3067 | EOUY Running | 51
1927 | 2467 | QD3715 | FFTC Running | 219
1928 | 1928 | IC8737 | FJSX Waiting | 481
1932 | 2346 | RM8150 | ALIV Running | 64
1934 | 2054 | UK2328 | SRBM Running | 70
1937 | 2084 | JS9426 | SRBM Running | 88
1944 | 2184 | HH7831 | EOUY Running | 290
1957 | 2497 | AW2521 | FFTC Running | 321
1958 | 2168 | PU5760 | FJSX Running | 157
1962 | 2376 | HJ9644 | ALIV Running | 1
1964 | 2114 | OO8864 | SRBM Running | 17
1972 | 2094 | SU6401 | NSI Running | 194
1974 | 2214 | NN2959 | EOUY Running | 205
1987 | 2527 | SE6819 | FFTC Running | 170
1988 | 2198 | KZ5553 | FJSX Running | 132
1992 | 2377 | JY3265 | ALIV Running | 191
1994 | 2131 | VD8516 | SRBM Running | 230
2001 | 2244 | UQ1895 | EOUY Running | 326
2004 | 2274 | RI3215 | EOUY Running | 159
2017 | 2557 | ZG7490 | FFTC Running | 218
2018 | 2407 | YQ9713 | ALIV Running | 443
2018 | 2228 | PS5394 | FJSX Running | 87
2022 | 2437 | YH3200 | ALIV Running | 355
2024 | 2161 | AM1241 | SRBM Running | 52
2034 | 2304 | BJ4358 | EOUY Running | 33
2047 | 2587 | QJ6920 | FFTC Running | 214
2048 | 2258 | EQ7970 | FJSX Running | 378
2049 | 2617 | SF4262 | FFTC Running | 160
2052 | 2467 | PD6313 | ALIV Running | 15
2054 | 2191 | SI8909 | SRBM Running | 265
2059 | 2221 | OF1143 | SRBM Running | 46
2064 | 2334 | NJ6254 | EOUY Running | 320
2077 | 2647 | ID5328 | FFTC Running | 339
2078 | 2288 | LR7917 | FJSX Running | 102
2082 | 2482 | AY4844 | ALIV Running | 470
2084 | 2251 | UK2328 | SRBM Running | 40
2094 | 2094 | RT4035 | NSI Waiting | 200
2094 | 2364 | BQ9441 | EOUY Running | 363
2107 | 2677 | RR4818 | FFTC Running | 44
2108 | 2318 | MN7646 | FJSX Running | 230
2112 | 2512 | GU6400 | ALIV Running | 107
