1012 | 1012 | FW6957 | WCXY Running | 3
1014 | 1014 | DD9967 | TCXS Running | 18
1015 | 1015 | FW6957 | MPW Running | 228
1017 | 1017 | MU7363 | SRN Running | 337
1027 | 1027 | CA5128 | WOKX Running | 17
1029 | 1029 | XM3977 | BSPW Running | 300
1029 | 1029 | HL2348 | XODE Running | 303
1029 | 1029 | PG5871 | IUNW Running | 218
1029 | 1029 | SU2343 | QQEK Running | 112
1030 | 1030 | GC9521 | CJTY Running | 32
1030 | 1030 | QJ4589 | FKIV Running | 25
1030 | 1030 | QU7673 | XEHG Running | 140
1032 | 1032 | DD9967 | MPU Running | 53
1032 | 1032 | OZ9719 | XDZS Running | 170
1035 | 1035 | AR5532 | VATX Running | 17
1037 | 1037 | VL5374 | OJGN Running | 118
1037 | 1037 | LC5212 | DSOT Running | 7
1040 | 1040 | BL5271 | QBNK Running | 14
1040 | 1070 | XO3259 | COUC Running | 374
1041 | 1041 | DF5201 | DXEO Running | 20
1044 | 1044 | CA5128 | WOKX Waiting | 149
1044 | 1044 | LC5212 | DSOT Waiting | 33
1049 | 1049 | RK3997 | DGSE Running | 46
1052 | 1052 | AR5532 | VATX Waiting | 173
1054 | 1054 | BL5271 | QBNK Waiting | 243
1055 | 1055 | QJ4589 | LLU Running | 307
1058 | 1058 | PE6014 | EKY Running | 11
1059 | 1059 | HL2348 | XODE Running | 273
1059 | 1059 | PG5871 | IUNW Running | 188
1059 | 1059 | SU2343 | QQEK Running | 82
1059 | 1059 | XM3977 | BSPW Running | 270
1060 | 1060 | GC9521 | CJTY Running | 2
1060 | 1060 | QU7673 | XEHG Running | 110
1061 | 1061 | DF5201 | DXEO Waiting | 469
1062 | 1062 | GC9521 | KVC Running | 78
1062 | 1062 | OZ9719 | XDZS Running | 140
1067 | 1067 | VL5374 | OJGN Running | 88
1069 | 1069 | PE6014 | EKY Waiting | 204
1070 | 1100 | QP9398 | COUC Running | 126
1077 | 1077 | LC5212 | DSOT Running | 24
1079 | 1079 | RK3997 | DGSE Running | 16
1085 | 1085 | DD9967 | MPU Waiting | 198
1085 | 1085 | PL7982 | KOFU Running | 182
1086 | 1086 | MG8205 | ZDEY Running | 460
1089 | 1089 | HL2348 | XODE Running | 243
