5325 | 5325 | NR2236 | MHD Waiting | 313
5326 | 5335 | GR6984 | IJSM Running | 361
5332 | 5362 | VQ3814 | QOUU Running | 45
5335 | 5335 | MS3124 | IJSM Waiting | 174
5336 | 5336 | NP7136 | ISBC Running | 162
5338 | 5338 | BV4449 | MHD Waiting | 478
5341 | 5392 | TA8105 | QOUU Running | 377
5362 | 5422 | LA6163 | QOUU Running | 224
5365 | 5365 | GR6984 | IJSM Running | 331
5366 | 5366 | NP7136 | ISBC Running | 132
5392 | 5452 | VQ3814 | QOUU Running | 15
5395 | 5395 | GR6984 | IJSM Running | 301
5396 | 5396 | NP7136 | ISBC Running | 102
5422 | 5467 | TA8105 | QOUU Running | 347
5425 | 5425 | GR6984 | IJSM Running | 271
5426 | 5426 | NP7136 | ISBC Running | 72
5452 | 5497 | LA6163 | QOUU Running | 194
5455 | 5455 | GR6984 | IJSM Running | 241
5456 | 5456 | NP7136 | ISBC Running | 42
5467 | 5467 | VQ3814 | QOUU Waiting | 246
5485 | 5485 | GR6984 | IJSM Running | 211
5486 | 5486 | NP7136 | ISBC Running | 12
5497 | 5527 | TA8105 | QOUU Running | 317
5498 | 5498 | NP7136 | Finished | 0
5501 | 5501 | KN3596 | NIT Waiting | 64
5509 | 5515 | MS3124 | IJSM Running | 257
5515 | 5545 | GR6984 | IJSM Running | 181
5527 | 5557 | LA6163 | QOUU Running | 164
5545 | 5575 | MS3124 | IJSM Running | 227
5557 | 5587 | TA8105 | QOUU Running | 287
5565 | 5565 | KN3596 | NIT Running | 388
5575 | 5605 | GR6984 | IJSM Running | 151
5587 | 5617 | LA6163 | QOUU Running | 134
5605 | 5635 | MS3124 | IJSM Running | 197
5617 | 5647 | TA8105 | QOUU Running | 257
5635 | 5665 | GR6984 | IJSM Running | 121
5638 | 5638 | NR2236 | MHD Running | 449
5647 | 5677 | LA6163 | QOUU Running | 104
5665 | 5695 | MS3124 | IJSM Running | 167
5677 | 5707 | TA8105 | QOUU Running | 227
5695 | 5725 | GR6984 | IJSM Running | 91
5707 | 5737 | LA6163 | QOUU Running | 74
5713 | 5713 | HS5200 | RIY Waiting | 72
5713 | 5767 | VQ3814 | QOUU Running | 316
5725 | 5755 | MS3124 | IJSM Running | 137
5737 | 5797 | TA8105 | QOUU Running | 197
5755 | 5785 | GR6984 | IJSM Running | 61
5767 | 5827 | LA6163 | QOUU Running | 44
5785 | 5785 | HS5200 | RIY Running | 154
5785 | 5815 | MS3124 | IJSM Running | 107
5797 | 5857 | VQ3814 | QOUU Running | 286
5815 | 5845 | GR6984 | IJSM Running | 31
5816 | 6087 | BV4449 | MHD Running | 24
5827 | 5887 | TA8105 | QOUU Running | 167
5845 | 5875 | MS3124 | IJSM Running | 77
5857 | 5917 | LA6163 | QOUU Running | 14
5875 | 5905 | GR6984 | IJSM Running | 1
5887 | 5931 | VQ3814 | QOUU Running | 256
5905 | 5906 | MS3124 | IJSM Running | 47
5906 | 6111 | GR6984 | MHD Running | 374
5917 | 5961 | TA8105 | QOUU Running | 137
5931 | 5931 | LA6163 | Finished | 0
5936 | 5936 | MS3124 | IJSM Running | 17
5939 | 5939 | HS5200 | RIY Waiting | 249
5953 | 5991 | KN3596 | QOUU Running | 351
5953 | 6485 | MS3124 | MHD Running | 72
5961 | 6021 | VQ3814 | QOUU Running | 226
5991 | 6051 | TA8105 | QOUU Running | 107
6021 | 6081 | KN3596 | QOUU Running | 321
6051 | 6111 | VQ3814 | QOUU Running | 196
6081 | 6141 | TA8105 | QOUU Running | 77
6087 | 6087 | NR2236 | IJSM Running | 61
6111 | 6111 | BV4449 | MHD Waiting | 217
6111 | 6171 | KN3596 | QOUU Running | 291
6117 | 6117 | NR2236 | IJSM Running | 31
6141 | 6201 | VQ3814 | QOUU Running | 166
6147 | 6147 | NR2236 | IJSM Running | 1
6148 | 6148 | NR2236 | Finished | 0
6171 | 6231 | TA8105 | QOUU Running | 47
6188 | 6188 | HS5200 | RIY Running | 51
6201 | 6261 | KN3596 | QOUU Running | 261
6231 | 6291 | VQ3814 | QOUU Running | 136
6239 | 6239 | HS5200 | RIY Waiting | 253
6261 | 6321 | TA8105 | QOUU Running | 17
6291 | 6338 | KN3596 | QOUU Running | 231
6321 | 6368 | VQ3814 | QOUU Running | 106
6328 | 6557 | BV4449 | MHD Running | 248
6338 | 6338 | TA8105 | QOUU Waiting | 464
6368 | 6398 | KN3596 | QOUU Running | 201
6398 | 6428 | VQ3814 | QOUU Running | 76
6428 | 6458 | KN3596 | QOUU Running | 171
6458 | 6488 | VQ3814 | QOUU Running | 46
6485 | 6485 | GR6984 | MHD Waiting | 493
6488 | 6518 | KN3596 | QOUU Running | 141
6492 | 6492 | HS5200 | RIY Running | 415
6518 | 6548 | VQ3814 | QOUU Running | 16
6548 | 6564 | KN3596 | QOUU Running | 111
6557 | 6557 | MS3124 | MHD Waiting | 183
6564 | 6564 | VQ3814 | NIT Running | 154
6594 | 6594 | KN3596 | QOUU Running | 81
6624 | 6624 | KN3596 | QOUU Running | 51
6654 | 6654 | KN3596 | QOUU Running | 21
6675 | 6675 | KN3596 | Finished | 0
6718 | 6718 | VQ3814 | NIT Waiting | 97
6740 | 6805 | MS3124 | MHD Running | 186
6802 | 6802 | TA8105 | QOUU Running | 283
6805 | 6805 | BV4449 | MHD Waiting | 261
6815 | 6815 | VQ3814 | NIT Running | 398
6832 | 6832 | TA8105 | QOUU Running | 253
6862 | 6862 | TA8105 | QOUU Running | 223
6892 | 6892 | TA8105 | QOUU Running | 193
6907 | 6922 | HS5200 | QOUU Running | 241
6922 | 6952 | TA8105 | QOUU Running | 163
6952 | 6982 | HS5200 | QOUU Running | 211
6978 | 6991 | GR6984 | MHD Running | 193
6982 | 7012 | TA8105 | QOUU Running | 133
6991 | 6991 | MS3124 | MHD Waiting | 310
7012 | 7042 | HS5200 | QOUU Running | 181
7042 | 7072 | TA8105 | QOUU Running | 103
7066 | 7184 | BV4449 | MHD Running | 275
7072 | 7102 | HS5200 | QOUU Running | 151
7102 | 7132 | TA8105 | QOUU Running | 73
7132 | 7162 | HS5200 | QOUU Running | 121
7162 | 7192 | TA8105 | QOUU Running | 43
7184 | 7184 | GR6984 | MHD Waiting | 39
7192 | 7222 | HS5200 | QOUU Running | 91
7213 | 7213 | VQ3814 | NIT Waiting | 271
7222 | 7252 | TA8105 | QOUU Running | 13
7223 | 7459 | GR6984 | MHD Running | 377
